Date,Temperature,Rainfall,Humidity,Pressure,WindSpeed
1990-01-01,30.6,16.62,87.24,1014.57,9.53
1990-01-02,29.72,33.79,87.84,1008.59,11.09
1990-01-03,29.44,13.34,85.21,1004.26,6.55
1990-01-04,29.33,7.87,85.57,1007.28,7.18
1990-01-05,31.76,15.74,84.34,1005.73,8.91
1990-01-06,30.13,6.49,85.88,1008.2,9.42
1990-01-07,29.28,36.52,83.93,1006.83,11.65
1990-01-08,28.53,20.09,74.2,1006.02,10.39
1990-01-09,30.89,19.71,83.42,1009.1,7.04
1990-01-10,29.14,13.39,89.29,1011.03,6.47
1990-01-11,30.39,14.15,80.62,1011.84,12.06
1990-01-12,31.12,9.61,82.45,1010.99,11.95
1990-01-13,29.42,16.14,78.47,1006.41,11.63
1990-01-14,31.63,17.28,89.02,1011.08,8.71
1990-01-15,30.43,33.38,83.82,1014.69,4.76
1990-01-16,30.99,18.87,82.5,1010.28,6.02
1990-01-17,29.74,21.57,91.39,1008.45,8.38
1990-01-18,29.4,27.15,85.64,1008.41,11.03
1990-01-19,30.12,27.69,80.49,1009.02,9.22
1990-01-20,28.24,20.96,85.31,1010.02,9.53
1990-01-21,28.3,13.79,82.29,1007.59,9.68
1990-01-22,30.48,36.86,84.87,1010.77,9.85
1990-01-23,27.7,17.73,84.3,1017.39,9.62
1990-01-24,30.36,17.65,78.16,1013.43,11.5
1990-01-25,30.95,8.91,91.01,1005.79,11.17
1990-01-26,32.63,8.09,81.17,1010.3,8.99
1990-01-27,28.14,18.69,78.69,1011.42,8.16
1990-01-28,31.86,10.17,82.39,1012.44,7.54
1990-01-29,30.27,31.07,75.96,1010.55,10.52
1990-01-30,30.94,5.63,77.4,1011.57,10.59
1990-01-31,30.3,21.46,80.6,1010.7,10.59
1990-02-01,29.14,36.66,86.37,1006.43,11.31
1990-02-02,28.83,25.87,89.79,1007.54,11.93
1990-02-03,30.5,26.22,93.48,1009.26,8.49
1990-02-04,28.93,9.84,83.61,1011.02,10.55
1990-02-05,30.99,18.13,91.27,1009.21,15.44
1990-02-06,30.75,9.43,78.65,1011.45,9.55
1990-02-07,30.86,22.73,83.64,1007.46,6.97
1990-02-08,29.46,26.56,85.07,1006.26,10.35
1990-02-09,30.46,9.16,84.77,1010.17,7.71
1990-02-10,30.43,23.61,89.42,1013.16,7.24
1990-02-11,28.87,23.15,86.57,1011.55,17.71
1990-02-12,30.69,29.36,88.77,1011.95,9.37
1990-02-13,30.91,10.27,82.82,1008.54,10.16
1990-02-14,32.78,0.0,87.43,1005.16,9.06
1990-02-15,31.31,18.64,78.61,1007.85,11.36
1990-02-16,29.12,20.16,84.23,1008.05,14.29
1990-02-17,30.76,0.0,84.93,1008.01,11.7
1990-02-18,29.05,16.85,86.52,1012.6,7.6
1990-02-19,29.6,13.25,80.73,1015.3,10.81
1990-02-20,28.49,27.18,94.61,1013.1,6.96
1990-02-21,29.42,30.67,80.46,1011.33,11.55
1990-02-22,28.89,17.4,67.79,1006.93,9.49
1990-02-23,28.5,34.32,76.85,1008.68,10.26
1990-02-24,31.73,3.64,89.82,1010.03,8.04
1990-02-25,30.55,19.99,81.0,1010.21,9.23
1990-02-26,30.14,24.62,91.93,1006.29,14.27
